dropout_p,seq_id,true_label,act_fixed_50,act_fixed_10,act_rule,act_supervised,act_ppo_42,act_ppo_123,act_ppo_456,act_oracle,j_oracle,j_ppo_456,ppo_regret
0.2000,64,Cyclist,50,10,10,5,5,5,10,5,0.0124,0.0223,0.0099
0.2000,65,Pedestrian,50,10,10,5,5,5,10,5,0.0126,0.0226,0.0100
0.2000,66,Vehicle,50,10,10,5,5,5,10,5,0.0142,0.0241,0.0100
0.2000,67,Empty,50,10,10,5,5,5,10,5,1.4068,1.4267,0.0198
0.2000,68,Empty,50,10,10,5,5,5,10,5,0.0116,0.0216,0.0100
0.2000,69,Vehicle,50,10,10,5,5,5,10,5,0.3033,0.3133,0.0100
0.2000,70,Cyclist,50,10,10,5,5,5,10,10,1.2806,1.2806,0.0000
0.2000,71,Cyclist,50,10,10,5,5,5,10,5,0.1164,0.1264,0.0100
0.2000,72,Empty,50,10,10,5,5,5,10,5,0.0115,0.0215,0.0100
0.2000,73,Vehicle,50,10,10,5,5,5,10,5,0.0134,0.0233,0.0099
0.2000,74,Cyclist,50,10,10,5,5,5,10,10,1.2178,1.2178,0.0000
0.3000,0,Empty,50,10,10,5,5,5,10,5,0.0115,0.0215,0.0100
0.3000,1,Pedestrian,50,10,10,5,5,5,10,5,0.0126,0.0225,0.0099
0.3000,2,Cyclist,50,10,10,5,5,5,10,5,0.3152,0.3251,0.0099
0.3000,3,Vehicle,50,10,10,5,5,5,10,10,1.5619,1.5619,0.0000
0.3000,4,Vehicle,50,10,10,5,5,5,10,5,6.2799,6.2898,0.0100
0.3000,5,Cyclist,50,10,10,5,5,5,10,5,0.0123,0.0222,0.0099
0.3000,6,Vehicle,50,10,10,5,5,5,10,5,0.0161,0.0259,0.0099
0.3000,7,Vehicle,50,10,10,5,5,5,10,5,0.0134,0.0233,0.0098
0.3000,8,Pedestrian,50,10,10,5,5,5,10,5,1.1466,1.1558,0.0092
0.3000,9,Empty,50,10,10,5,5,5,10,5,0.0114,0.0214,0.0100
0.3000,10,Pedestrian,50,10,10,5,5,5,10,5,0.0166,0.0264,0.0099
0.3000,11,Empty,50,10,10,5,5,5,10,5,0.0115,0.0215,0.0100
0.3000,12,Pedestrian,50,10,10,5,5,5,10,10,1.1771,1.1771,0.0000
0.3000,13,Pedestrian,50,10,10,5,5,5,10,5,1.2423,1.2828,0.0406
0.3000,14,Vehicle,50,10,10,5,5,5,10,10,1.6376,1.6376,0.0000
0.3000,15,Empty,50,10,10,5,5,5,10,5,0.0113,0.0213,0.0100
0.3000,16,Vehicle,50,10,10,5,5,5,10,5,1.6871,1.6971,0.0100
0.3000,17,Pedestrian,50,10,10,5,5,5,10,5,1.1744,1.1932,0.0189
0.3000,18,Cyclist,50,10,10,5,5,5,10,5,4.2889,4.2989,0.0100
0.3000,19,Empty,50,10,10,5,5,5,10,5,0.0115,0.0215,0.0100
0.3000,20,Empty,50,10,10,5,5,5,10,5,0.0117,0.0216,0.0100
0.3000,21,Cyclist,50,10,10,5,5,5,10,5,1.3896,1.3995,0.0099
0.3000,22,Cyclist,50,10,10,5,5,5,10,5,3.7794,3.7894,0.0100
0.3000,23,Empty,50,10,10,5,5,5,10,5,0.0118,0.0217,0.0099
0.3000,24,Vehicle,50,10,10,5,5,5,10,5,0.0127,0.0227,0.0100
0.3000,25,Vehicle,50,10,10,5,5,5,10,5,5.0003,5.0102,0.0099
0.3000,26,Cyclist,50,10,10,5,5,5,10,5,0.0586,0.0685,0.0099
0.3000,27,Vehicle,50,10,10,5,5,5,10,5,0.0162,0.0261,0.0099
0.3000,28,Cyclist,50,10,10,5,5,5,10,5,0.0146,0.0245,0.0100
0.3000,29,Empty,50,10,10,5,5,5,10,5,0.4165,0.4266,0.0100
0.3000,30,Cyclist,50,10,10,5,5,5,10,5,7.8792,7.8892,0.0100
0.3000,31,Pedestrian,50,10,10,5,5,5,10,5,1.2734,1.3112,0.0378
0.3000,32,Pedestrian,50,10,10,5,5,5,10,5,0.0121,0.0221,0.0099
0.3000,33,Empty,50,10,10,5,5,5,10,5,0.0115,0.0215,0.0100
0.3000,34,Vehicle,50,10,10,5,5,5,10,5,0.0139,0.0238,0.0100
0.3000,35,Pedestrian,50,10,10,5,5,5,10,5,0.0124,0.0223,0.0100
0.3000,36,Cyclist,50,10,10,5,5,5,10,5,0.0287,0.0386,0.0098
0.3000,37,Empty,50,10,10,5,5,5,10,5,1.4225,1.4605,0.0380
0.3000,38,Empty,50,10,10,5,5,5,10,5,0.0115,0.0215,0.0100
0.3000,39,Vehicle,50,10,10,5,5,5,10,5,0.0139,0.0238,0.0099
0.3000,40,Empty,50,10,10,5,5,5,10,5,0.0116,0.0216,0.0100
0.3000,41,Pedestrian,50,10,10,5,5,5,10,5,1.1549,1.1659,0.0110
0.3000,42,Pedestrian,50,10,10,5,5,5,10,5,0.0127,0.0227,0.0099
0.3000,43,Vehicle,50,10,10,5,5,5,10,10,1.5874,1.5874,0.0000
0.3000,44,Empty,50,10,10,5,5,5,10,5,0.0116,0.0215,0.0100
0.3000,45,Empty,50,10,10,5,5,5,10,5,0.0116,0.0216,0.0100
0.3000,46,Vehicle,50,10,10,5,5,5,10,5,0.0132,0.0231,0.0099
0.3000,47,Vehicle,50,10,10,5,5,5,10,5,0.6949,0.7048,0.0100
0.3000,48,Pedestrian,50,10,10,5,5,5,10,5,6.0412,6.0512,0.0100
0.3000,49,Pedestrian,50,10,10,5,5,5,10,5,1.2706,1.3222,0.0516
0.3000,50,Pedestrian,50,10,10,5,5,5,10,5,1.2320,1.2586,0.0266
0.3000,51,Vehicle,50,10,10,5,5,5,10,5,0.0148,0.0246,0.0098
0.3000,52,Pedestrian,50,10,10,5,5,5,10,5,0.0136,0.0236,0.0100
0.3000,53,Empty,50,10,10,5,5,5,10,5,0.0116,0.0215,0.0100
0.3000,54,Pedestrian,50,10,10,5,5,5,10,5,0.0128,0.0227,0.0098
0.3000,55,Cyclist,50,10,10,5,5,5,10,5,0.0129,0.0228,0.0099
0.3000,56,Vehicle,50,10,10,5,5,5,10,5,1.6037,1.6071,0.0034
0.3000,57,Vehicle,50,10,10,5,5,5,10,5,1.6297,1.6496,0.0199
0.3000,58,Vehicle,50,10,10,5,5,5,10,5,0.0451,0.0550,0.0098
0.3000,59,Empty,50,10,10,5,5,5,10,5,1.4147,1.4523,0.0376
0.3000,60,Vehicle,50,10,10,5,5,5,10,5,0.0141,0.0241,0.0100
0.3000,61,Cyclist,50,10,10,5,5,5,10,5,1.3093,1.3193,0.0100
0.3000,62,Cyclist,50,10,10,5,5,5,10,5,0.0137,0.0237,0.0100
0.3000,63,Cyclist,50,10,10,5,5,5,10,10,1.1819,1.1819,0.0000
0.3000,64,Cyclist,50,10,10,5,5,5,10,5,0.0123,0.0222,0.0099
0.3000,65,Pedestrian,50,10,10,5,5,5,10,5,0.0128,0.0228,0.0099
0.3000,66,Vehicle,50,10,10,5,5,5,10,5,0.0143,0.0243,0.0100
0.3000,67,Empty,50,10,10,5,5,5,10,5,1.4070,1.4269,0.0199
0.3000,68,Empty,50,10,10,5,5,5,10,5,0.0118,0.0218,0.0100
0.3000,69,Vehicle,50,10,10,5,5,5,10,5,0.3034,0.3133,0.0100
0.3000,70,Cyclist,50,10,10,5,5,5,10,5,0.0198,0.0297,0.0099
0.3000,71,Cyclist,50,10,10,5,5,5,10,5,0.1166,0.1265,0.0099
0.3000,72,Empty,50,10,10,5,5,5,10,5,0.0114,0.0214,0.0100
0.3000,73,Vehicle,50,10,10,5,5,5,10,10,1.5544,1.5544,0.0000
0.3000,74,Cyclist,50,10,10,5,5,5,10,10,1.2705,1.2705,0.0000
0.4000,0,Empty,50,10,10,5,5,5,10,5,1.4019,1.4306,0.0286
0.4000,1,Pedestrian,50,10,10,5,5,5,10,5,1.1507,1.1722,0.0215
0.4000,2,Cyclist,50,10,10,5,5,5,10,5,0.3147,0.3246,0.0099
0.4000,3,Vehicle,50,10,10,5,5,5,10,5,0.0165,0.0265,0.0100
0.4000,4,Vehicle,50,10,10,5,5,5,10,5,1.5734,1.5923,0.0189
0.4000,5,Cyclist,50,10,10,5,5,5,10,5,0.0130,0.0228,0.0099
0.4000,6,Vehicle,50,10,10,5,5,5,10,5,1.5786,1.5939,0.0154
0.4000,7,Vehicle,50,10,10,5,5,5,10,5,1.6017,1.6167,0.0151
0.4000,8,Pedestrian,50,10,10,5,5,5,10,5,1.2380,1.2635,0.0255
0.4000,9,Empty,50,10,10,5,5,5,10,5,1.4008,1.4194,0.0186
0.4000,10,Pedestrian,50,10,10,5,5,5,10,5,0.0171,0.0270,0.0099
0.4000,11,Empty,50,10,10,5,5,5,10,5,1.4239,1.4578,0.0339
0.4000,12,Pedestrian,50,10,10,5,5,5,10,5,0.0125,0.0224,0.0099
0.4000,13,Pedestrian,50,10,10,5,5,5,10,5,1.1624,1.1840,0.0216
0.4000,14,Vehicle,50,10,10,5,5,5,10,10,1.6302,1.6302,0.0000
0.4000,15,Empty,50,10,10,5,5,5,10,5,0.0116,0.0216,0.0100
0.4000,16,Vehicle,50,10,10,5,5,5,10,5,1.6877,1.6976,0.0100
0.4000,17,Pedestrian,50,10,10,5,5,5,10,5,0.0128,0.0227,0.0099
0.4000,18,Cyclist,50,10,10,5,5,5,10,10,1.2841,1.2841,0.0000
0.4000,19,Empty,50,10,10,5,5,5,10,5,1.4348,1.4623,0.0275
0.4000,20,Empty,50,10,10,5,5,5,10,5,1.4120,1.4350,0.0230
0.4000,21,Cyclist,50,10,10,5,5,5,10,10,1.2142,1.2142,0.0000
0.4000,22,Cyclist,50,10,10,5,5,5,10,5,3.7796,3.7895,0.0099
0.4000,23,Empty,50,10,10,5,5,5,10,5,1.4388,1.4670,0.0282
0.4000,24,Vehicle,50,10,10,5,5,5,10,5,0.0134,0.0233,0.0099
0.4000,25,Vehicle,50,10,10,5,5,5,10,5,1.6128,1.6242,0.0114
0.4000,26,Cyclist,50,10,10,5,5,5,10,5,0.0577,0.0677,0.0100
0.4000,27,Vehicle,50,10,10,5,5,5,10,5,0.0175,0.0273,0.0099
0.4000,28,Cyclist,50,10,10,5,5,5,10,10,1.2267,1.2267,0.0000
0.4000,29,Empty,50,10,10,5,5,5,10,5,1.4492,1.4523,0.0030
0.4000,30,Cyclist,50,10,10,5,5,5,10,10,1.2487,1.2487,0.0000
0.4000,31,Pedestrian,50,10,10,5,5,5,10,5,0.2971,0.3071,0.0100
0.4000,32,Pedestrian,50,10,10,5,5,5,10,5,0.0129,0.0228,0.0099
0.4000,33,Empty,50,10,10,5,5,5,10,5,0.0116,0.0216,0.0100
0.4000,34,Vehicle,50,10,10,5,5,5,10,5,0.0128,0.0227,0.0099
0.4000,35,Pedestrian,50,10,10,5,5,5,10,5,1.2703,1.3189,0.0487
0.4000,36,Cyclist,50,10,10,5,5,5,10,10,1.2135,1.2135,0.0000
0.4000,37,Empty,50,10,10,5,5,5,10,5,0.0119,0.0218,0.0099
0.4000,38,Empty,50,10,10,5,5,5,10,5,0.0117,0.0217,0.0100
0.4000,39,Vehicle,50,10,10,5,5,5,10,5,1.5486,1.5542,0.0055
0.4000,40,Empty,50,10,10,5,5,5,10,5,0.0115,0.0215,0.0100
0.4000,41,Pedestrian,50,10,10,5,5,5,10,5,0.0128,0.0227,0.0099
0.4000,42,Pedestrian,50,10,10,5,5,5,10,5,1.2556,1.2854,0.0298
0.4000,43,Vehicle,50,10,10,5,5,5,10,5,0.0135,0.0234,0.0098
0.4000,44,Empty,50,10,10,5,5,5,10,5,1.4210,1.4539,0.0329
0.4000,45,Empty,50,10,10,5,5,5,10,5,1.4186,1.4477,0.0291
0.4000,46,Vehicle,50,10,10,5,5,5,10,5,0.0133,0.0232,0.0099
0.4000,47,Vehicle,50,10,10,5,5,5,10,10,1.5998,1.5998,0.0000
0.4000,48,Pedestrian,50,10,10,5,5,5,10,5,6.0358,6.0458,0.0100
0.4000,49,Pedestrian,50,10,10,5,5,5,10,5,1.2622,1.3147,0.0525
0.4000,50,Pedestrian,50,10,10,5,5,5,10,5,1.2336,1.2703,0.0367
0.4000,51,Vehicle,50,10,10,5,5,5,10,10,1.5854,1.5854,0.0000
0.4000,52,Pedestrian,50,10,10,5,5,5,10,5,0.0133,0.0232,0.0099
0.4000,53,Empty,50,10,10,5,5,5,10,5,0.0116,0.0216,0.0100
0.4000,54,Pedestrian,50,10,10,5,5,5,10,5,0.0131,0.0230,0.0099
0.4000,55,Cyclist,50,10,10,5,5,5,10,10,1.1746,1.1746,0.0000
0.4000,56,Vehicle,50,10,10,5,5,5,10,5,0.0368,0.0467,0.0099
0.4000,57,Vehicle,50,10,10,5,5,5,10,5,0.0129,0.0229,0.0100
0.4000,58,Vehicle,50,10,10,5,5,5,10,5,0.0446,0.0545,0.0099
0.4000,59,Empty,50,10,10,5,5,5,10,5,1.4230,1.4547,0.0317
0.4000,60,Vehicle,50,10,10,5,5,5,10,5,0.0153,0.0252,0.0099
0.4000,61,Cyclist,50,10,10,5,5,5,10,5,1.3036,1.3135,0.0100
0.4000,62,Cyclist,50,10,10,5,5,5,10,5,0.0133,0.0234,0.0100
0.4000,63,Cyclist,50,10,10,5,5,5,10,5,0.0125,0.0225,0.0099
