Step,Weight_Norm,Abs_Error_m
392,0.01345,0.03628
393,0.01346,0.04017
394,0.01348,0.03422
395,0.01350,0.03038
396,0.01352,0.04003
397,0.01353,0.04927
398,0.01355,0.04599
399,0.01358,0.04412
400,0.01363,0.05353
401,0.01366,0.03896
402,0.01368,0.02796
403,0.01370,0.03307
404,0.01372,0.03228
405,0.01374,0.03960
406,0.01376,0.02462
407,0.01377,0.02741
408,0.01378,0.03402
409,0.01380,0.03241
410,0.01381,0.02018
411,0.01382,0.02038
412,0.01384,0.01825
413,0.01386,0.01576
414,0.01387,0.01555
415,0.01388,0.02156
416,0.01391,0.03206
417,0.01394,0.04206
418,0.01397,0.03909
419,0.01399,0.03088
420,0.01403,0.04466
421,0.01406,0.04367
422,0.01411,0.05322
423,0.01415,0.05056
424,0.01419,0.05838
425,0.01425,0.06413
426,0.01431,0.06812
427,0.01438,0.07180
428,0.01445,0.07500
429,0.01452,0.06810
430,0.01459,0.06901
431,0.01466,0.07191
432,0.01475,0.08531
433,0.01480,0.04028
434,0.01483,0.03216
435,0.01486,0.03414
436,0.01491,0.04120
437,0.01495,0.03441
438,0.01499,0.03972
439,0.01502,0.02850
440,0.01505,0.02496
441,0.01508,0.02865
442,0.01511,0.02691
443,0.01513,0.02308
444,0.01516,0.02896
445,0.01519,0.02579
446,0.01521,0.02324
447,0.01523,0.02148
448,0.01526,0.03116
449,0.01537,0.12046
450,0.01543,0.07152
451,0.01550,0.08445
452,0.01555,0.08559
453,0.01562,0.08430
454,0.01570,0.08057
455,0.01580,0.09880
456,0.01589,0.09557
457,0.01596,0.09363
458,0.01608,0.09657
459,0.01619,0.09473
460,0.01632,0.10398
461,0.01640,0.09095
462,0.01652,0.09889
463,0.01661,0.10960
464,0.01682,0.14621
465,0.01681,0.09859
466,0.01682,0.04519
467,0.01683,0.03067
468,0.01685,0.03623
469,0.01687,0.03060
470,0.01689,0.03809
471,0.01692,0.03433
472,0.01694,0.04161
473,0.01697,0.04418
474,0.01701,0.04883
475,0.01705,0.04966
476,0.01708,0.04429
477,0.01712,0.05789
478,0.01716,0.04629
479,0.01720,0.05372
480,0.01728,0.08265
481,0.01731,0.06163
482,0.01733,0.04285
483,0.01734,0.04402
484,0.01735,0.04945
485,0.01737,0.04207
486,0.01738,0.02666
487,0.01740,0.03176
488,0.01743,0.03602
489,0.01745,0.03098
490,0.01746,0.01841
491,0.01748,0.04339
492,0.01749,0.03324
493,0.01752,0.03913
494,0.01753,0.03064
495,0.01755,0.03367
496,0.01757,0.02991
497,0.01758,0.02754
498,0.01760,0.02675
499,0.01761,0.02605
500,0.01763,0.02872
501,0.01766,0.03257
502,0.01767,0.02743
503,0.01770,0.02845
504,0.01774,0.03509
505,0.01778,0.04623
506,0.01782,0.04017
507,0.01786,0.03891
508,0.01790,0.03134
509,0.01794,0.03743
510,0.01799,0.03756
511,0.01804,0.03780
512,0.01810,0.04441
513,0.01807,0.02505
514,0.01804,0.04336
515,0.01801,0.03147
516,0.01798,0.02714
517,0.01795,0.03794
518,0.01793,0.03227
519,0.01791,0.03308
520,0.01789,0.03257
521,0.01787,0.02794
522,0.01786,0.02572
523,0.01785,0.03160
524,0.01784,0.03318
525,0.01782,0.03387
526,0.01781,0.03700
527,0.01781,0.02707
528,0.01781,0.03896
529,0.01787,0.06352
530,0.01791,0.05378
531,0.01794,0.03984
532,0.01799,0.06212
533,0.01801,0.04216
534,0.01805,0.04738
535,0.01809,0.04350
536,0.01811,0.03041
537,0.01814,0.03954
538,0.01816,0.02482
539,0.01818,0.02025
540,0.01821,0.02869
541,0.01824,0.02500
542,0.01826,0.03953
543,0.01830,0.03842
544,0.01832,0.01698
545,0.01831,0.02025
546,0.01829,0.02912
547,0.01827,0.04207
548,0.01826,0.02760
549,0.01825,0.04152
550,0.01823,0.04217
551,0.01823,0.03587
552,0.01822,0.04319
553,0.01821,0.03721
554,0.01821,0.04557
555,0.01821,0.04043
556,0.01822,0.02953
557,0.01823,0.03923
558,0.01824,0.04516
559,0.01825,0.04401
560,0.01826,0.05178
561,0.01827,0.01669
562,0.01831,0.03344
563,0.01832,0.02904
564,0.01835,0.02404
565,0.01839,0.03406
566,0.01842,0.03909
567,0.01845,0.02480
568,0.01848,0.03330
569,0.01853,0.03239
570,0.01858,0.03358
571,0.01863,0.03372
572,0.01869,0.03582
573,0.01875,0.03915
574,0.01879,0.03325
575,0.01884,0.04131
576,0.01892,0.05123
577,0.01895,0.04363
578,0.01899,0.04762
579,0.01901,0.03025
580,0.01905,0.03926
581,0.01907,0.04029
582,0.01910,0.02677
583,0.01913,0.03281
584,0.01915,0.03743
585,0.01917,0.03033
586,0.01919,0.02566
587,0.01921,0.02684
588,0.01923,0.02372
589,0.01924,0.02035
590,0.01926,0.03060
591,0.01927,0.02476
592,0.01928,0.02056
593,0.01929,0.02302
594,0.01930,0.03290
595,0.01929,0.03717
596,0.01929,0.02665
597,0.01929,0.03624
598,0.01931,0.03780
599,0.01934,0.03281
600,0.01937,0.03551
601,0.01940,0.03167
602,0.01943,0.03330
603,0.01947,0.02794
604,0.01951,0.03021
605,0.01956,0.03749
606,0.01959,0.03475
607,0.01962,0.03247
608,0.01964,0.05500
609,0.01962,0.03319
610,0.01960,0.03505
611,0.01958,0.03099
612,0.01956,0.02341
613,0.01954,0.03685
614,0.01952,0.02419
615,0.01950,0.03334
616,0.01949,0.02823
617,0.01949,0.02878
618,0.01947,0.03757
619,0.01946,0.02870
620,0.01945,0.03885
621,0.01944,0.03630
622,0.01944,0.03356
623,0.01944,0.03043
624,0.01944,0.03589
625,0.01947,0.03782
626,0.01947,0.03573
627,0.01949,0.03273
628,0.01947,0.03725
629,0.01947,0.03046
630,0.01946,0.02910
631,0.01946,0.02888
632,0.01945,0.03138
633,0.01945,0.03009
634,0.01945,0.02090
635,0.01946,0.02326
636,0.01946,0.03231
637,0.01946,0.02057
638,0.01948,0.02873
639,0.01948,0.02323
640,0.01949,0.00545
641,0.01952,0.07618
642,0.01956,0.05627
643,0.01960,0.05564
644,0.01963,0.05686
645,0.01966,0.05133
646,0.01970,0.04691
647,0.01973,0.04656
648,0.01975,0.04533
649,0.01977,0.04986
650,0.01980,0.04651
651,0.01982,0.04596
652,0.01983,0.04469
653,0.01985,0.04453
654,0.01987,0.04795
655,0.01989,0.04980
656,0.01991,0.05555
657,0.01994,0.04760
658,0.01996,0.03999
659,0.01997,0.04300
660,0.01998,0.03978
661,0.01998,0.03204
662,0.01998,0.03091
663,0.01998,0.03495
664,0.01999,0.02313
665,0.02000,0.02621
666,0.02000,0.02206
667,0.01999,0.02592
668,0.01999,0.02563
669,0.01998,0.02004
670,0.01998,0.01180
671,0.01998,0.01424
672,0.01999,0.00667
673,0.02000,0.01854
674,0.02002,0.02360
675,0.02003,0.02414
676,0.02006,0.02547
677,0.02007,0.03309
678,0.02009,0.02555
679,0.02012,0.03696
680,0.02015,0.02858
681,0.02018,0.02787
682,0.02020,0.03169
683,0.02023,0.04239
684,0.02027,0.02485
685,0.02030,0.04260
686,0.02034,0.02912
687,0.02036,0.03412
688,0.02039,0.04109
689,0.02038,0.03222
690,0.02038,0.00438
691,0.02038,0.00766
692,0.02038,0.00633
693,0.02038,0.01507
694,0.02038,0.00822
695,0.02038,0.00811
696,0.02038,0.00677
697,0.02038,0.02641
698,0.02038,0.02497
699,0.02039,0.01993
700,0.02039,0.02108
701,0.02039,0.02707
702,0.02040,0.02497
703,0.02040,0.01621
704,0.02041,0.02574
705,0.02044,0.05890
706,0.02045,0.03215
707,0.02048,0.04377
708,0.02050,0.03620
709,0.02052,0.04179
710,0.02054,0.03010
711,0.02056,0.03393
712,0.02059,0.04517
713,0.02062,0.02920
714,0.02065,0.03423
715,0.02067,0.03457
716,0.02069,0.02742
717,0.02071,0.03093
718,0.02074,0.03000
719,0.02076,0.02801
720,0.02082,0.07333
721,0.02083,0.02633
722,0.02084,0.01320
723,0.02085,0.01242
724,0.02086,0.01995
725,0.02087,0.01855
726,0.02087,0.02487
727,0.02087,0.03229
728,0.02089,0.02778
729,0.02090,0.02967
730,0.02092,0.02547
731,0.02095,0.03004
732,0.02097,0.03708
733,0.02099,0.03230
734,0.02101,0.03651
735,0.02103,0.03405
736,0.02104,0.07345
737,0.02105,0.06010
738,0.02106,0.03206
739,0.02107,0.02376
740,0.02109,0.02680
741,0.02110,0.03333
742,0.02112,0.02015
743,0.02114,0.02422
744,0.02117,0.03797
745,0.02120,0.03186
746,0.02123,0.02278
747,0.02126,0.02828
748,0.02130,0.03410
749,0.02135,0.03745
750,0.02139,0.04963
751,0.02144,0.03613
752,0.02151,0.06762
753,0.02150,0.03639
754,0.02151,0.01763
755,0.02152,0.01494
756,0.02153,0.01382
757,0.02153,0.01310
758,0.02153,0.00685
759,0.02154,0.00966
760,0.02155,0.01396
761,0.02155,0.01129
762,0.02157,0.01132
763,0.02157,0.01143
764,0.02158,0.00821
765,0.02158,0.00710
766,0.02158,0.01382
767,0.02159,0.01873
768,0.02161,0.04139
769,0.02166,0.06386
770,0.02171,0.04891
771,0.02174,0.04004
772,0.02178,0.04456
773,0.02182,0.04861
774,0.02185,0.04028
775,0.02188,0.03699
776,0.02191,0.03896
777,0.02193,0.02748
778,0.02195,0.02745
779,0.02198,0.03295
780,0.02201,0.03157
781,0.02203,0.03281
782,0.02206,0.02753
783,0.02208,0.02933
784,0.02211,0.03197
785,0.02215,0.04790
786,0.02219,0.04292
787,0.02222,0.04059
788,0.02225,0.03705
789,0.02229,0.04565
790,0.02232,0.04054
791,0.02235,0.03894
