window_T,seed,gap_length,model_name,diffusion_steps,parameters,missing_mse,missing_mae,missing_rmse,full_mse,temporal_error,boundary_temporal_error,latency_ms
16,42,8,B1_Framewise,0,33344,0.125146,0.144438,0.353760,0.062573,0.041265,0.144793,0.100000
16,42,8,B2_Mamba,0,76800,0.111791,0.138719,0.334351,0.055895,0.042315,0.140211,0.450000
16,42,8,B3_Mamba_Diffusion_5,5,226880,0.131674,0.159660,0.362869,0.065837,0.045859,0.160506,1.338548
16,42,8,B3_Mamba_Diffusion_10,10,226880,0.134074,0.160795,0.366161,0.067037,0.045774,0.160086,1.661335
16,42,8,B3_Mamba_Diffusion_20,20,226880,0.135425,0.159002,0.368001,0.067712,0.045738,0.158964,2.030423
16,123,1,B0_Persistence,0,0,0.032391,0.039284,0.179976,0.002024,0.005238,0.039284,0.010000
16,123,1,B1_Framewise,0,33344,0.128592,0.146618,0.358598,0.008037,0.019549,0.146618,0.100000
16,123,1,B2_Mamba,0,76800,0.105954,0.150558,0.325506,0.006622,0.020074,0.150558,0.450000
16,123,1,B3_Mamba_Diffusion_5,5,226880,0.128187,0.151527,0.358032,0.008012,0.020204,0.151527,1.417639
16,123,1,B3_Mamba_Diffusion_10,10,226880,0.128957,0.153236,0.359106,0.008060,0.020432,0.153236,2.018639
16,123,1,B3_Mamba_Diffusion_20,20,226880,0.127414,0.153997,0.356951,0.007963,0.020533,0.153997,2.513935
16,123,2,B0_Persistence,0,0,0.036416,0.044872,0.190831,0.004552,0.008920,0.044872,0.010000
16,123,2,B1_Framewise,0,33344,0.129623,0.147267,0.360033,0.016203,0.022573,0.147267,0.100000
16,123,2,B2_Mamba,0,76800,0.108803,0.151527,0.329854,0.013600,0.023856,0.151527,0.450000
16,123,2,B3_Mamba_Diffusion_5,5,226880,0.127658,0.151446,0.357293,0.015957,0.023619,0.151446,1.125219
16,123,2,B3_Mamba_Diffusion_10,10,226880,0.129954,0.153690,0.360491,0.016244,0.023762,0.153690,1.948010
16,123,2,B3_Mamba_Diffusion_20,20,226880,0.131804,0.156235,0.363048,0.016475,0.024288,0.156235,2.309113
16,123,4,B0_Persistence,0,0,0.044229,0.053453,0.210307,0.011057,0.016284,0.055411,0.010000
16,123,4,B1_Framewise,0,33344,0.129345,0.147464,0.359646,0.032336,0.028584,0.147661,0.100000
16,123,4,B2_Mamba,0,76800,0.111187,0.149591,0.333447,0.027797,0.030614,0.149903,0.450000
16,123,4,B3_Mamba_Diffusion_5,5,226880,0.130595,0.152595,0.361379,0.032649,0.030472,0.152337,1.069616
16,123,4,B3_Mamba_Diffusion_10,10,226880,0.132199,0.155515,0.363591,0.033050,0.031011,0.156329,1.423213
16,123,4,B3_Mamba_Diffusion_20,20,226880,0.132244,0.156000,0.363654,0.033061,0.030838,0.156025,2.250871
16,123,8,B0_Persistence,0,0,0.050857,0.061611,0.225515,0.025428,0.029669,0.057823,0.010000
16,123,8,B1_Framewise,0,33344,0.128906,0.147848,0.359034,0.064453,0.041711,0.148139,0.100000
16,123,8,B2_Mamba,0,76800,0.114396,0.146634,0.338224,0.057198,0.043928,0.148448,0.450000
16,123,8,B3_Mamba_Diffusion_5,5,226880,0.128795,0.152310,0.358880,0.064398,0.044981,0.151845,0.880810
16,123,8,B3_Mamba_Diffusion_10,10,226880,0.130262,0.154876,0.360918,0.065131,0.045469,0.154703,1.614790
16,123,8,B3_Mamba_Diffusion_20,20,226880,0.130209,0.155761,0.360845,0.065104,0.045732,0.156584,2.575335
16,456,1,B0_Persistence,0,0,0.032391,0.039284,0.179976,0.002024,0.005238,0.039284,0.010000
16,456,1,B1_Framewise,0,33344,0.126258,0.144887,0.355327,0.007891,0.019318,0.144887,0.100000
16,456,1,B2_Mamba,0,76800,0.105135,0.146225,0.324245,0.006571,0.019497,0.146225,0.450000
16,456,1,B3_Mamba_Diffusion_5,5,226880,0.139118,0.159620,0.372985,0.008695,0.021283,0.159620,1.007090
16,456,1,B3_Mamba_Diffusion_10,10,226880,0.136915,0.158858,0.370021,0.008557,0.021181,0.158858,1.597542
16,456,1,B3_Mamba_Diffusion_20,20,226880,0.133079,0.156167,0.364800,0.008317,0.020822,0.156167,2.419977
16,456,2,B0_Persistence,0,0,0.036416,0.044872,0.190831,0.004552,0.008920,0.044872,0.010000
16,456,2,B1_Framewise,0,33344,0.127259,0.145584,0.356733,0.015907,0.022348,0.145584,0.100000
16,456,2,B2_Mamba,0,76800,0.111341,0.145936,0.333679,0.013918,0.023752,0.145936,0.450000
16,456,2,B3_Mamba_Diffusion_5,5,226880,0.139802,0.160801,0.373900,0.017475,0.024783,0.160801,1.226145
16,456,2,B3_Mamba_Diffusion_10,10,226880,0.139556,0.160935,0.373571,0.017444,0.024760,0.160935,1.783194
16,456,2,B3_Mamba_Diffusion_20,20,226880,0.137303,0.159015,0.370544,0.017163,0.024485,0.159015,3.124894
16,456,4,B0_Persistence,0,0,0.044229,0.053453,0.210307,0.011057,0.016284,0.055411,0.010000
16,456,4,B1_Framewise,0,33344,0.127051,0.145800,0.356442,0.031763,0.028365,0.146017,0.100000
16,456,4,B2_Mamba,0,76800,0.116283,0.143918,0.341003,0.029071,0.030244,0.144493,0.450000
16,456,4,B3_Mamba_Diffusion_5,5,226880,0.139582,0.160768,0.373607,0.034896,0.031570,0.160432,1.120619
16,456,4,B3_Mamba_Diffusion_10,10,226880,0.137931,0.160390,0.371390,0.034483,0.031383,0.159961,1.622094
16,456,4,B3_Mamba_Diffusion_20,20,226880,0.137078,0.158633,0.370241,0.034270,0.031363,0.159413,2.730077
16,456,8,B0_Persistence,0,0,0.050857,0.061611,0.225515,0.025428,0.029669,0.057823,0.010000
16,456,8,B1_Framewise,0,33344,0.126741,0.146225,0.356007,0.063371,0.041501,0.146566,0.100000
16,456,8,B2_Mamba,0,76800,0.119756,0.142769,0.346058,0.059878,0.043260,0.144234,0.450000
16,456,8,B3_Mamba_Diffusion_5,5,226880,0.139564,0.161292,0.373583,0.069782,0.046311,0.162049,1.097626
16,456,8,B3_Mamba_Diffusion_10,10,226880,0.136461,0.160108,0.369406,0.068230,0.045594,0.160226,1.666342
16,456,8,B3_Mamba_Diffusion_20,20,226880,0.139380,0.160161,0.373336,0.069690,0.045570,0.160316,2.657671
