dataset_scale,window_T,seed,corruption_mode,corruption_param,model_name,parameters,missing_mse,missing_mae,missing_rmse,full_mse,temporal_error,latency_ms,peak_vram_mb
medium,4,456,bernoulli_dropout,0.500000,B0_Persistence,0,0.103406,0.083020,0.321569,0.058316,0.048818,0.100000,69.410645
medium,4,456,bernoulli_dropout,0.500000,B1_Framewise,33344,0.132637,0.151415,0.364194,0.074801,0.097507,0.100000,69.410645
medium,4,456,bernoulli_dropout,0.500000,B2_Mamba,76800,0.123647,0.149041,0.351634,0.069731,0.099471,1.201135,69.410645
medium,4,456,contiguous_gap,1.000000,B0_Persistence,0,0.064988,0.056395,0.254928,0.016247,0.037597,0.500000,69.410645
medium,4,456,contiguous_gap,1.000000,B1_Framewise,33344,0.131057,0.151320,0.362018,0.032764,0.100880,0.500000,69.410645
medium,4,456,contiguous_gap,1.000000,B2_Mamba,76800,0.111715,0.148774,0.334237,0.027929,0.099183,0.500000,69.410645
medium,4,456,contiguous_gap,2.000000,B0_Persistence,0,0.073233,0.062862,0.270615,0.036616,0.063139,0.500000,69.410645
medium,4,456,contiguous_gap,2.000000,B1_Framewise,33344,0.134363,0.152738,0.366556,0.067182,0.123056,0.500000,69.410645
medium,4,456,contiguous_gap,2.000000,B2_Mamba,76800,0.121439,0.150173,0.348481,0.060719,0.126525,0.500000,69.410645
medium,8,42,bernoulli_dropout,0.100000,B0_Persistence,0,0.072012,0.059351,0.268351,0.009232,0.014723,0.100000,70.979492
medium,8,42,bernoulli_dropout,0.100000,B1_Framewise,33344,0.144349,0.155096,0.379933,0.018506,0.037346,0.100000,70.979492
medium,8,42,bernoulli_dropout,0.100000,B2_Mamba,76800,0.108285,0.153459,0.329066,0.013883,0.037724,1.820287,70.979492
medium,8,42,bernoulli_dropout,0.200000,B0_Persistence,0,0.070620,0.062204,0.265743,0.015165,0.020971,0.100000,71.013672
medium,8,42,bernoulli_dropout,0.200000,B1_Framewise,33344,0.123532,0.145604,0.351471,0.026528,0.049138,0.100000,71.013672
medium,8,42,bernoulli_dropout,0.200000,B2_Mamba,76800,0.095105,0.146201,0.308391,0.020423,0.050597,2.148126,71.013672
medium,8,42,bernoulli_dropout,0.300000,B0_Persistence,0,0.063931,0.056480,0.252846,0.015573,0.024402,0.100000,71.013672
medium,8,42,bernoulli_dropout,0.300000,B1_Framewise,33344,0.121663,0.146361,0.348802,0.029636,0.059349,0.100000,71.013672
medium,8,42,bernoulli_dropout,0.300000,B2_Mamba,76800,0.101282,0.147999,0.318248,0.024671,0.060313,1.647638,71.013672
medium,8,42,bernoulli_dropout,0.400000,B0_Persistence,0,0.064266,0.058857,0.253508,0.024512,0.036955,0.100000,71.013672
medium,8,42,bernoulli_dropout,0.400000,B1_Framewise,33344,0.123359,0.146754,0.351225,0.047050,0.079809,0.100000,71.013672
medium,8,42,bernoulli_dropout,0.400000,B2_Mamba,76800,0.100776,0.146495,0.317453,0.038437,0.083146,2.230321,71.013672
medium,8,42,bernoulli_dropout,0.500000,B0_Persistence,0,0.053141,0.054849,0.230523,0.028274,0.044379,0.100000,71.013672
medium,8,42,bernoulli_dropout,0.500000,B1_Framewise,33344,0.131341,0.149547,0.362409,0.069880,0.092164,0.100000,71.013672
medium,8,42,bernoulli_dropout,0.500000,B2_Mamba,76800,0.107527,0.147438,0.327913,0.057210,0.096049,1.789626,71.013672
medium,8,42,contiguous_gap,1.000000,B0_Persistence,0,0.042205,0.045375,0.205438,0.005276,0.012964,0.500000,71.013672
medium,8,42,contiguous_gap,1.000000,B1_Framewise,33344,0.121144,0.143217,0.348058,0.015143,0.040919,0.500000,71.013672
medium,8,42,contiguous_gap,1.000000,B2_Mamba,76800,0.088494,0.134897,0.297479,0.011062,0.038542,0.500000,71.013672
medium,8,42,contiguous_gap,2.000000,B0_Persistence,0,0.049807,0.051046,0.223174,0.012452,0.021959,0.500000,71.013672
medium,8,42,contiguous_gap,2.000000,B1_Framewise,33344,0.123607,0.144681,0.351578,0.030902,0.048712,0.500000,71.013672
medium,8,42,contiguous_gap,2.000000,B2_Mamba,76800,0.097295,0.137894,0.311921,0.024324,0.048953,0.500000,71.013672
medium,8,42,contiguous_gap,4.000000,B0_Persistence,0,0.060873,0.062311,0.246725,0.030437,0.041278,0.500000,71.013672
medium,8,42,contiguous_gap,4.000000,B1_Framewise,33344,0.126385,0.146942,0.355506,0.063192,0.065373,0.500000,71.013672
medium,8,42,contiguous_gap,4.000000,B2_Mamba,76800,0.108623,0.143406,0.329580,0.054311,0.073765,0.500000,71.013672
medium,8,123,bernoulli_dropout,0.100000,B0_Persistence,0,0.041818,0.044432,0.204494,0.003619,0.007862,0.100000,71.013672
medium,8,123,bernoulli_dropout,0.100000,B1_Framewise,33344,0.118289,0.144439,0.343932,0.010237,0.024913,0.100000,71.013672
medium,8,123,bernoulli_dropout,0.100000,B2_Mamba,76800,0.088813,0.144383,0.298014,0.007686,0.025081,1.786985,71.013672
medium,8,123,bernoulli_dropout,0.200000,B0_Persistence,0,0.065521,0.054470,0.255970,0.011130,0.016936,0.100000,71.013672
medium,8,123,bernoulli_dropout,0.200000,B1_Framewise,33344,0.137005,0.150559,0.370143,0.023273,0.042645,0.100000,71.013672
medium,8,123,bernoulli_dropout,0.200000,B2_Mamba,76800,0.105179,0.151884,0.324312,0.017867,0.043651,1.865813,71.013672
medium,8,123,bernoulli_dropout,0.300000,B0_Persistence,0,0.066195,0.058660,0.257284,0.018883,0.025760,0.100000,71.013672
medium,8,123,bernoulli_dropout,0.300000,B1_Framewise,33344,0.133194,0.150276,0.364957,0.037994,0.063669,0.100000,71.013672
medium,8,123,bernoulli_dropout,0.300000,B2_Mamba,76800,0.098454,0.153855,0.313774,0.028085,0.067139,1.983462,71.013672
medium,8,123,bernoulli_dropout,0.400000,B0_Persistence,0,0.060848,0.058632,0.246673,0.024378,0.036317,0.100000,71.013672
medium,8,123,bernoulli_dropout,0.400000,B1_Framewise,33344,0.128007,0.147917,0.357781,0.051285,0.079227,0.100000,71.013672
medium,8,123,bernoulli_dropout,0.400000,B2_Mamba,76800,0.099276,0.150369,0.315082,0.039774,0.083743,1.771915,71.013672
medium,8,123,bernoulli_dropout,0.500000,B0_Persistence,0,0.072689,0.064114,0.269609,0.037276,0.048319,0.100000,71.013672
medium,8,123,bernoulli_dropout,0.500000,B1_Framewise,33344,0.131498,0.150673,0.362626,0.067435,0.094197,0.100000,71.013672
medium,8,123,bernoulli_dropout,0.500000,B2_Mamba,76800,0.110329,0.152357,0.332158,0.056579,0.100116,1.475108,71.013672
medium,8,123,contiguous_gap,1.000000,B0_Persistence,0,0.042205,0.045375,0.205438,0.005276,0.012964,0.500000,71.013672
medium,8,123,contiguous_gap,1.000000,B1_Framewise,33344,0.122223,0.143550,0.349605,0.015278,0.041014,0.500000,71.013672
medium,8,123,contiguous_gap,1.000000,B2_Mamba,76800,0.088809,0.132476,0.298008,0.011101,0.037850,0.500000,71.013672
medium,8,123,contiguous_gap,2.000000,B0_Persistence,0,0.049807,0.051046,0.223174,0.012452,0.021959,0.500000,71.013672
medium,8,123,contiguous_gap,2.000000,B1_Framewise,33344,0.124817,0.145057,0.353295,0.031204,0.048819,0.500000,71.013672
medium,8,123,contiguous_gap,2.000000,B2_Mamba,76800,0.095825,0.138238,0.309557,0.023956,0.049979,0.500000,71.013672
medium,8,123,contiguous_gap,4.000000,B0_Persistence,0,0.060873,0.062311,0.246725,0.030437,0.041278,0.500000,71.013672
medium,8,123,contiguous_gap,4.000000,B1_Framewise,33344,0.127677,0.147318,0.357320,0.063839,0.065475,0.500000,71.013672
medium,8,123,contiguous_gap,4.000000,B2_Mamba,76800,0.107724,0.144301,0.328213,0.053862,0.073688,0.500000,71.013672
medium,8,456,bernoulli_dropout,0.100000,B0_Persistence,0,0.094118,0.076631,0.306787,0.009352,0.014395,0.100000,71.013672
medium,8,456,bernoulli_dropout,0.100000,B1_Framewise,33344,0.145644,0.158322,0.381633,0.014471,0.029336,0.100000,71.013672
