window_T,seed,corruption_mode,corruption_param,model_name,parameters,missing_mse,missing_mae,missing_rmse,full_mse,temporal_error,latency_ms,peak_vram_mb
8,456,bernoulli_dropout,0.500000,B1_Framewise,33344,0.182969,0.149332,0.427749,0.093244,0.107046,0.100000,67.073242
8,456,bernoulli_dropout,0.500000,B2_Mamba,76800,0.246636,0.172774,0.496624,0.125689,0.132536,2.127754,67.073242
8,456,contiguous_gap,1.000000,B0_Persistence,0,0.240122,0.125314,0.490023,0.030015,0.035804,0.500000,67.073242
8,456,contiguous_gap,1.000000,B1_Framewise,33344,0.180129,0.146504,0.424416,0.022516,0.041858,0.500000,67.073242
8,456,contiguous_gap,1.000000,B2_Mamba,76800,0.228692,0.169464,0.478217,0.028586,0.048418,0.500000,67.073242
8,456,contiguous_gap,2.000000,B0_Persistence,0,0.300793,0.141887,0.548446,0.075198,0.059241,0.500000,67.073242
8,456,contiguous_gap,2.000000,B1_Framewise,33344,0.179770,0.146663,0.423993,0.044943,0.060605,0.500000,67.073242
8,456,contiguous_gap,2.000000,B2_Mamba,76800,0.215595,0.166688,0.464322,0.053899,0.074838,0.500000,67.073242
8,456,contiguous_gap,4.000000,B0_Persistence,0,0.302885,0.141526,0.550350,0.151443,0.088208,0.500000,67.073242
8,456,contiguous_gap,4.000000,B1_Framewise,33344,0.179265,0.147838,0.423396,0.089632,0.094385,0.500000,67.073242
8,456,contiguous_gap,4.000000,B2_Mamba,76800,0.216683,0.167204,0.465492,0.108341,0.116560,0.500000,67.073242
16,42,bernoulli_dropout,0.100000,B0_Persistence,0,0.226667,0.138827,0.476096,0.014167,0.013576,0.100000,66.789551
16,42,bernoulli_dropout,0.100000,B1_Framewise,33344,0.138863,0.133938,0.372643,0.008679,0.013226,0.100000,66.789551
16,42,bernoulli_dropout,0.100000,B2_Mamba,76800,0.203581,0.185351,0.451199,0.012724,0.018199,5.905760,66.789551
16,42,bernoulli_dropout,0.200000,B0_Persistence,0,0.213389,0.124610,0.461940,0.042678,0.043014,0.100000,66.783691
16,42,bernoulli_dropout,0.200000,B1_Framewise,33344,0.181607,0.152078,0.426154,0.036321,0.053285,0.100000,66.783691
16,42,bernoulli_dropout,0.200000,B2_Mamba,76800,0.291357,0.202844,0.539775,0.058271,0.073366,6.812280,66.783691
16,42,bernoulli_dropout,0.300000,B0_Persistence,0,0.272008,0.135304,0.521544,0.074802,0.066984,0.100000,66.783691
16,42,bernoulli_dropout,0.300000,B1_Framewise,33344,0.180508,0.149582,0.424862,0.049640,0.076728,0.100000,66.783691
16,42,bernoulli_dropout,0.300000,B2_Mamba,76800,0.244007,0.186545,0.493971,0.067102,0.096932,4.894280,66.783691
16,42,bernoulli_dropout,0.400000,B0_Persistence,0,0.253901,0.120233,0.503885,0.072996,0.057789,0.100000,66.783691
16,42,bernoulli_dropout,0.400000,B1_Framewise,33344,0.190780,0.152542,0.436784,0.054849,0.079031,0.100000,66.783691
16,42,bernoulli_dropout,0.400000,B2_Mamba,76800,0.267320,0.192020,0.517030,0.076855,0.101639,4.778180,66.783691
16,42,bernoulli_dropout,0.500000,B0_Persistence,0,0.209635,0.115370,0.457859,0.091715,0.081966,0.100000,66.783691
16,42,bernoulli_dropout,0.500000,B1_Framewise,33344,0.190106,0.153419,0.436012,0.083171,0.103404,0.100000,66.783691
16,42,bernoulli_dropout,0.500000,B2_Mamba,76800,0.229421,0.176882,0.478979,0.100372,0.125128,5.163700,66.783691
16,42,contiguous_gap,1.000000,B0_Persistence,0,0.308922,0.129771,0.555807,0.019308,0.017303,0.500000,66.783691
16,42,contiguous_gap,1.000000,B1_Framewise,33344,0.217067,0.154808,0.465904,0.013567,0.020641,0.500000,66.783691
16,42,contiguous_gap,1.000000,B2_Mamba,76800,0.219474,0.176295,0.468480,0.013717,0.023506,0.500000,66.783691
16,42,contiguous_gap,2.000000,B0_Persistence,0,0.389464,0.153251,0.624070,0.048683,0.030952,0.500000,66.783691
16,42,contiguous_gap,2.000000,B1_Framewise,33344,0.219930,0.156579,0.468967,0.027491,0.031395,0.500000,66.783691
16,42,contiguous_gap,2.000000,B2_Mamba,76800,0.246729,0.186548,0.496718,0.030841,0.039284,0.500000,66.783691
16,42,contiguous_gap,4.000000,B0_Persistence,0,0.377987,0.146201,0.614806,0.094497,0.044896,0.500000,66.783691
16,42,contiguous_gap,4.000000,B1_Framewise,33344,0.218036,0.155544,0.466943,0.054509,0.049763,0.500000,66.783691
16,42,contiguous_gap,4.000000,B2_Mamba,76800,0.254813,0.191223,0.504790,0.063703,0.065572,0.500000,66.783691
16,42,contiguous_gap,8.000000,B0_Persistence,0,0.362505,0.154161,0.602084,0.181253,0.083613,0.500000,66.783691
16,42,contiguous_gap,8.000000,B1_Framewise,33344,0.194765,0.151538,0.441321,0.097382,0.082546,0.500000,66.783691
16,42,contiguous_gap,8.000000,B2_Mamba,76800,0.209983,0.174351,0.458239,0.104991,0.097904,0.500000,66.783691
16,123,bernoulli_dropout,0.100000,B0_Persistence,0,0.152371,0.085000,0.390347,0.019046,0.017238,0.100000,66.783691
16,123,bernoulli_dropout,0.100000,B1_Framewise,33344,0.170206,0.148559,0.412560,0.021276,0.026516,0.100000,66.783691
16,123,bernoulli_dropout,0.100000,B2_Mamba,76800,0.284345,0.191494,0.533241,0.035543,0.037983,5.846060,66.783691
16,123,bernoulli_dropout,0.200000,B0_Persistence,0,0.248239,0.118840,0.498236,0.049648,0.041003,0.100000,66.783691
16,123,bernoulli_dropout,0.200000,B1_Framewise,33344,0.186466,0.146036,0.431817,0.037293,0.052643,0.100000,66.783691
16,123,bernoulli_dropout,0.200000,B2_Mamba,76800,0.274419,0.182375,0.523850,0.054884,0.066753,5.323280,66.783691
16,123,bernoulli_dropout,0.300000,B0_Persistence,0,0.245028,0.126263,0.495003,0.061257,0.053329,0.100000,66.783691
16,123,bernoulli_dropout,0.300000,B1_Framewise,33344,0.174930,0.150370,0.418246,0.043732,0.061692,0.100000,66.783691
16,123,bernoulli_dropout,0.300000,B2_Mamba,76800,0.304081,0.193508,0.551436,0.076020,0.082451,6.090320,66.783691
16,123,bernoulli_dropout,0.400000,B0_Persistence,0,0.213122,0.109056,0.461652,0.077257,0.067936,0.100000,66.783691
16,123,bernoulli_dropout,0.400000,B1_Framewise,33344,0.185100,0.150129,0.430233,0.067099,0.085871,0.100000,66.783691
16,123,bernoulli_dropout,0.400000,B2_Mamba,76800,0.249128,0.176068,0.499127,0.090309,0.105549,8.760920,66.783691
16,123,bernoulli_dropout,0.500000,B0_Persistence,0,0.270333,0.129709,0.519935,0.172337,0.095303,0.100000,66.783691
16,123,bernoulli_dropout,0.500000,B1_Framewise,33344,0.180005,0.151417,0.424270,0.114753,0.108223,0.100000,66.783691
16,123,bernoulli_dropout,0.500000,B2_Mamba,76800,0.242921,0.181979,0.492870,0.154862,0.140621,5.577300,66.783691
16,123,contiguous_gap,1.000000,B0_Persistence,0,0.308922,0.129771,0.555807,0.019308,0.017303,0.500000,66.783691
16,123,contiguous_gap,1.000000,B1_Framewise,33344,0.211241,0.153183,0.459610,0.013203,0.020424,0.500000,66.783691
16,123,contiguous_gap,1.000000,B2_Mamba,76800,0.307803,0.183111,0.554800,0.019238,0.024415,0.500000,66.783691
16,123,contiguous_gap,2.000000,B0_Persistence,0,0.389464,0.153251,0.624070,0.048683,0.030952,0.500000,66.783691
16,123,contiguous_gap,2.000000,B1_Framewise,33344,0.213622,0.154926,0.462192,0.026703,0.031175,0.500000,66.783691
16,123,contiguous_gap,2.000000,B2_Mamba,76800,0.283008,0.174652,0.531985,0.035376,0.038146,0.500000,66.783691
16,123,contiguous_gap,4.000000,B0_Persistence,0,0.377987,0.146201,0.614806,0.094497,0.044896,0.500000,66.783691
16,123,contiguous_gap,4.000000,B1_Framewise,33344,0.210099,0.153347,0.458366,0.052525,0.049496,0.500000,66.783691
16,123,contiguous_gap,4.000000,B2_Mamba,76800,0.279097,0.175222,0.528296,0.069774,0.062264,0.500000,66.783691
